date,city,cases
2022-07-01,Fujian_ning-de-shi,0.0
2022-07-02,Fujian_ning-de-shi,0.0
2022-07-03,Fujian_ning-de-shi,10.0
2022-07-04,Fujian_ning-de-shi,7.0
2022-07-05,Fujian_ning-de-shi,14.0
2022-07-06,Fujian_ning-de-shi,18.0
2022-07-07,Fujian_ning-de-shi,15.0
2022-07-08,Fujian_ning-de-shi,14.0
2022-07-09,Fujian_ning-de-shi,7.0
2022-07-10,Fujian_ning-de-shi,16.0
2022-07-11,Fujian_ning-de-shi,8.0
2022-07-12,Fujian_ning-de-shi,1.0
2022-07-13,Fujian_ning-de-shi,1.0
2022-07-14,Fujian_ning-de-shi,0.0
2022-07-15,Fujian_ning-de-shi,0.0
2022-07-16,Fujian_ning-de-shi,0.0
2022-07-17,Fujian_ning-de-shi,0.0
2022-07-18,Fujian_ning-de-shi,0.0
2022-07-19,Fujian_ning-de-shi,0.0
2022-07-20,Fujian_ning-de-shi,0.0
2022-07-21,Fujian_ning-de-shi,0.0
2022-07-22,Fujian_ning-de-shi,0.0
2022-07-23,Fujian_ning-de-shi,0.0
2022-07-24,Fujian_ning-de-shi,0.0
2022-07-25,Fujian_ning-de-shi,0.0
2022-07-26,Fujian_ning-de-shi,0.0
2022-07-27,Fujian_ning-de-shi,0.0
2022-07-28,Fujian_ning-de-shi,0.0
2022-07-29,Fujian_ning-de-shi,0.0
2022-07-30,Fujian_ning-de-shi,0.0
2022-07-31,Fujian_ning-de-shi,0.0
2022-08-01,Fujian_ning-de-shi,0.0
2022-08-02,Fujian_ning-de-shi,0.0
2022-08-03,Fujian_ning-de-shi,0.0
2022-08-04,Fujian_ning-de-shi,0.0
2022-08-05,Fujian_ning-de-shi,0.0
2022-08-06,Fujian_ning-de-shi,0.0
2022-08-07,Fujian_ning-de-shi,0.0
2022-08-08,Fujian_ning-de-shi,0.0
2022-08-09,Fujian_ning-de-shi,0.0
2022-08-10,Fujian_ning-de-shi,0.0
2022-08-11,Fujian_ning-de-shi,0.0
2022-08-12,Fujian_ning-de-shi,0.0
2022-08-13,Fujian_ning-de-shi,0.0
2022-08-14,Fujian_ning-de-shi,0.0
2022-08-15,Fujian_ning-de-shi,0.0
2022-08-16,Fujian_ning-de-shi,0.0
2022-08-17,Fujian_ning-de-shi,0.0
2022-08-18,Fujian_ning-de-shi,0.0
2022-08-19,Fujian_ning-de-shi,0.0
2022-08-20,Fujian_ning-de-shi,0.0
2022-08-21,Fujian_ning-de-shi,0.0
2022-08-22,Fujian_ning-de-shi,0.0
2022-08-23,Fujian_ning-de-shi,0.0
2022-08-24,Fujian_ning-de-shi,0.0
2022-08-25,Fujian_ning-de-shi,0.0
2022-08-26,Fujian_ning-de-shi,0.0
2022-08-27,Fujian_ning-de-shi,0.0
2022-08-28,Fujian_ning-de-shi,0.0
2022-08-29,Fujian_ning-de-shi,0.0
2022-08-30,Fujian_ning-de-shi,0.0
2022-08-31,Fujian_ning-de-shi,0.0
2022-09-01,Fujian_ning-de-shi,0.0
2022-09-02,Fujian_ning-de-shi,0.0
2022-09-03,Fujian_ning-de-shi,0.0
2022-09-04,Fujian_ning-de-shi,0.0
2022-09-05,Fujian_ning-de-shi,0.0
2022-09-06,Fujian_ning-de-shi,0.0
2022-09-07,Fujian_ning-de-shi,0.0
2022-09-08,Fujian_ning-de-shi,0.0
2022-09-09,Fujian_ning-de-shi,0.0
2022-09-10,Fujian_ning-de-shi,0.0
2022-09-11,Fujian_ning-de-shi,0.0
2022-09-12,Fujian_ning-de-shi,0.0
2022-09-13,Fujian_ning-de-shi,0.0
2022-09-14,Fujian_ning-de-shi,0.0
2022-09-15,Fujian_ning-de-shi,0.0
2022-09-16,Fujian_ning-de-shi,0.0
2022-09-17,Fujian_ning-de-shi,0.0
2022-09-18,Fujian_ning-de-shi,0.0
2022-09-19,Fujian_ning-de-shi,0.0
2022-09-20,Fujian_ning-de-shi,0.0
2022-09-21,Fujian_ning-de-shi,0.0
2022-09-22,Fujian_ning-de-shi,0.0
2022-09-23,Fujian_ning-de-shi,0.0
2022-09-24,Fujian_ning-de-shi,0.0
2022-09-25,Fujian_ning-de-shi,0.0
2022-09-26,Fujian_ning-de-shi,0.0
2022-09-27,Fujian_ning-de-shi,0.0
2022-09-28,Fujian_ning-de-shi,0.0
2022-09-29,Fujian_ning-de-shi,0.0
2022-09-30,Fujian_ning-de-shi,0.0
2022-10-01,Fujian_ning-de-shi,0.0
2022-10-02,Fujian_ning-de-shi,0.0
2022-10-03,Fujian_ning-de-shi,0.0
2022-10-04,Fujian_ning-de-shi,0.0
2022-10-05,Fujian_ning-de-shi,0.0
2022-10-06,Fujian_ning-de-shi,0.0
2022-10-07,Fujian_ning-de-shi,0.0
2022-10-08,Fujian_ning-de-shi,0.0
2022-10-09,Fujian_ning-de-shi,0.0
2022-10-10,Fujian_ning-de-shi,0.0
2022-10-11,Fujian_ning-de-shi,0.0
2022-10-12,Fujian_ning-de-shi,0.0
2022-10-13,Fujian_ning-de-shi,0.0
2022-10-14,Fujian_ning-de-shi,1.0
2022-10-15,Fujian_ning-de-shi,0.0
2022-10-16,Fujian_ning-de-shi,0.0
2022-10-17,Fujian_ning-de-shi,0.0
2022-10-18,Fujian_ning-de-shi,0.0
2022-10-19,Fujian_ning-de-shi,0.0
2022-10-20,Fujian_ning-de-shi,0.0
2022-10-21,Fujian_ning-de-shi,0.0
2022-10-22,Fujian_ning-de-shi,0.0
2022-10-23,Fujian_ning-de-shi,0.0
2022-10-24,Fujian_ning-de-shi,0.0
2022-10-25,Fujian_ning-de-shi,1.0
2022-10-26,Fujian_ning-de-shi,2.0
2022-10-27,Fujian_ning-de-shi,0.0
2022-10-28,Fujian_ning-de-shi,0.0
2022-10-29,Fujian_ning-de-shi,0.0
2022-10-30,Fujian_ning-de-shi,1.0
2022-10-31,Fujian_ning-de-shi,0.0
2022-11-01,Fujian_ning-de-shi,0.0
2022-11-02,Fujian_ning-de-shi,1.0
2022-11-03,Fujian_ning-de-shi,0.0
2022-11-04,Fujian_ning-de-shi,0.0
2022-11-05,Fujian_ning-de-shi,0.0
2022-11-06,Fujian_ning-de-shi,0.0
2022-11-07,Fujian_ning-de-shi,0.0
2022-11-08,Fujian_ning-de-shi,0.0
2022-11-09,Fujian_ning-de-shi,0.0
2022-11-10,Fujian_ning-de-shi,0.0
2022-11-11,Fujian_ning-de-shi,0.0
2022-11-12,Fujian_ning-de-shi,0.0
2022-11-13,Fujian_ning-de-shi,0.0
2022-11-14,Fujian_ning-de-shi,0.0
