date,cases,Mean.R.,province,city,roll_corr
3/14/2022,6,1.586352781,Beijing,Beijing_Beijing,NA
3/15/2022,10,1.278762892,Beijing,Beijing_Beijing,NA
3/16/2022,4,1.07286613,Beijing,Beijing_Beijing,NA
3/17/2022,8,0.928811163,Beijing,Beijing_Beijing,NA
3/18/2022,1,0.825004736,Beijing,Beijing_Beijing,NA
3/19/2022,1,0.749852639,Beijing,Beijing_Beijing,NA
3/20/2022,4,0.696910202,Beijing,Beijing_Beijing,NA
3/21/2022,6,0.662459579,Beijing,Beijing_Beijing,NA
3/22/2022,4,0.644294546,Beijing,Beijing_Beijing,NA
3/23/2022,4,0.641160325,Beijing,Beijing_Beijing,NA
3/24/2022,0,0.652235653,Beijing,Beijing_Beijing,NA
3/25/2022,2,0.677270683,Beijing,Beijing_Beijing,NA
3/26/2022,1,0.716755756,Beijing,Beijing_Beijing,NA
3/27/2022,0,0.771918625,Beijing,Beijing_Beijing,0.915774837
3/28/2022,0,0.843975542,Beijing,Beijing_Beijing,0.925123747
3/29/2022,2,0.933027668,Beijing,Beijing_Beijing,0.931124871
3/30/2022,0,1.036462203,Beijing,Beijing_Beijing,0.861103133
3/31/2022,0,1.148084313,Beijing,Beijing_Beijing,0.631567264
4/1/2022,0,1.257365978,Beijing,Beijing_Beijing,0.581702785
4/2/2022,0,1.350791935,Beijing,Beijing_Beijing,0.733132576
4/3/2022,1,1.41520785,Beijing,Beijing_Beijing,0.804844352
4/4/2022,9,1.442153671,Beijing,Beijing_Beijing,0.798657707
4/5/2022,5,1.429693606,Beijing,Beijing_Beijing,0.668830814
4/6/2022,4,1.382292423,Beijing,Beijing_Beijing,0.568349662
4/7/2022,10,1.310430166,Beijing,Beijing_Beijing,0.500615043
4/8/2022,6,1.225743747,Beijing,Beijing_Beijing,0.408238991
4/9/2022,3,1.137747295,Beijing,Beijing_Beijing,0.355563259
4/10/2022,0,1.053470335,Beijing,Beijing_Beijing,0.405962896
4/11/2022,4,0.978630995,Beijing,Beijing_Beijing,0.375051402
4/12/2022,0,0.919197615,Beijing,Beijing_Beijing,0.041302661
4/13/2022,1,0.882129765,Beijing,Beijing_Beijing,-0.20156307
4/14/2022,2,0.874478542,Beijing,Beijing_Beijing,-0.365287765
4/15/2022,0,0.90528935,Beijing,Beijing_Beijing,-0.428471234
4/16/2022,0,0.987421461,Beijing,Beijing_Beijing,-0.496101912
4/17/2022,3,1.136235319,Beijing,Beijing_Beijing,-0.567599869
4/18/2022,2,1.365079929,Beijing,Beijing_Beijing,-0.384543379
4/19/2022,2,1.673633979,Beijing,Beijing_Beijing,0.050246305
4/20/2022,1,2.032244646,Beijing,Beijing_Beijing,0.371241762
4/21/2022,1,2.378033859,Beijing,Beijing_Beijing,0.490391133
4/22/2022,6,2.637579848,Beijing,Beijing_Beijing,0.552388573
4/23/2022,22,2.762438751,Beijing,Beijing_Beijing,0.591633832
4/24/2022,19,2.745015034,Beijing,Beijing_Beijing,0.783036054
4/25/2022,33,2.608408502,Beijing,Beijing_Beijing,0.908857591
4/26/2022,34,2.397135054,Beijing,Beijing_Beijing,0.902511504
4/27/2022,50,2.157620911,Beijing,Beijing_Beijing,0.825678623
4/28/2022,49,1.920535657,Beijing,Beijing_Beijing,0.661346271
4/29/2022,54,1.700485017,Beijing,Beijing_Beijing,0.524086359
4/30/2022,59,1.502405327,Beijing,Beijing_Beijing,0.585637978
5/1/2022,41,1.327706437,Beijing,Beijing_Beijing,0.726523618
5/2/2022,62,1.178299264,Beijing,Beijing_Beijing,0.854531013
5/3/2022,51,1.056163541,Beijing,Beijing_Beijing,0.916167325
5/4/2022,50,0.96217135,Beijing,Beijing_Beijing,0.929930555
5/5/2022,72,0.896818318,Beijing,Beijing_Beijing,0.931266057
5/6/2022,53,0.859916766,Beijing,Beijing_Beijing,0.932021351
5/7/2022,62,0.850693477,Beijing,Beijing_Beijing,0.944313644
5/8/2022,49,0.867661609,Beijing,Beijing_Beijing,0.949787599
5/9/2022,74,0.90786662,Beijing,Beijing_Beijing,0.957632551
5/10/2022,37,0.965848124,Beijing,Beijing_Beijing,0.965897095
5/11/2022,46,1.032918811,Beijing,Beijing_Beijing,0.974850461
5/12/2022,50,1.097695953,Beijing,Beijing_Beijing,0.97044917
5/13/2022,56,1.149176393,Beijing,Beijing_Beijing,0.918845334
5/14/2022,41,1.179178907,Beijing,Beijing_Beijing,0.689737759
5/15/2022,54,1.183809202,Beijing,Beijing_Beijing,0.266230601
5/16/2022,52,1.164241259,Beijing,Beijing_Beijing,-0.180977363
5/17/2022,69,1.124937224,Beijing,Beijing_Beijing,-0.398512082
5/18/2022,55,1.071462646,Beijing,Beijing_Beijing,-0.377064789
5/19/2022,62,1.009121657,Beijing,Beijing_Beijing,-0.263267148
5/20/2022,70,0.9424986,Beijing,Beijing_Beijing,-0.140183031
5/21/2022,61,0.875575276,Beijing,Beijing_Beijing,0.060814069
5/22/2022,99,0.811714809,Beijing,Beijing_Beijing,0.250628
5/23/2022,48,0.752986915,Beijing,Beijing_Beijing,0.456069222
5/24/2022,47,0.700421293,Beijing,Beijing_Beijing,0.620251936
5/25/2022,45,0.654523972,Beijing,Beijing_Beijing,0.764326891
5/26/2022,29,0.615672604,Beijing,Beijing_Beijing,0.867019982
5/27/2022,24,0.584279483,Beijing,Beijing_Beijing,0.921532272
5/28/2022,21,0.560942301,Beijing,Beijing_Beijing,0.91521343
5/29/2022,12,0.546631844,Beijing,Beijing_Beijing,0.90591102
5/30/2022,18,0.542947921,Beijing,Beijing_Beijing,0.901830751
5/31/2022,15,0.552483091,Beijing,Beijing_Beijing,0.89987544
6/1/2022,14,0.579132903,Beijing,Beijing_Beijing,0.899570126
6/2/2022,15,0.628611436,Beijing,Beijing_Beijing,0.906281506
6/3/2022,6,0.709595023,Beijing,Beijing_Beijing,0.927450686
6/4/2022,19,0.832670803,Beijing,Beijing_Beijing,0.923165184
6/5/2022,6,1.005336109,Beijing,Beijing_Beijing,0.864720092
6/6/2022,2,1.222762754,Beijing,Beijing_Beijing,0.889438777
6/7/2022,8,1.457347232,Beijing,Beijing_Beijing,0.927982193
6/8/2022,1,1.659208019,Beijing,Beijing_Beijing,0.951636986
6/9/2022,8,1.776638136,Beijing,Beijing_Beijing,0.966052692
6/10/2022,61,1.78299111,Beijing,Beijing_Beijing,0.966455597
6/11/2022,65,1.686947477,Beijing,Beijing_Beijing,0.955275859
6/12/2022,51,1.52036743,Beijing,Beijing_Beijing,0.925253119
6/13/2022,74,1.320026814,Beijing,Beijing_Beijing,0.860459618
6/14/2022,63,1.115907306,Beijing,Beijing_Beijing,0.73974973
6/15/2022,18,0.922542725,Beijing,Beijing_Beijing,0.53885026
6/16/2022,22,0.743290816,Beijing,Beijing_Beijing,0.268251926
6/17/2022,9,0.578681527,Beijing,Beijing_Beijing,-0.040432226
6/18/2022,1,0.431652794,Beijing,Beijing_Beijing,-0.321390125
6/19/2022,5,0.308521739,Beijing,Beijing_Beijing,-0.544924458
6/20/2022,5,0.21567296,Beijing,Beijing_Beijing,-0.697162008
6/21/2022,6,0.152478511,Beijing,Beijing_Beijing,-0.80007323
6/22/2022,3,0.113720782,Beijing,Beijing_Beijing,-0.879278962
