"city","mean_corr","lb_corr","ub_corr","se","province"
"Anhui_Bangbu","0.711959332304979","0.264870933068466","0.907107934260152","0.135056176707834","Anhui"
"Anhui_Fuyang","0.892486629956314","0.825679986555514","0.93460726106534","0.0559220200509775","Anhui"
"Anhui_Hefei","0.872125747775877","0.787458108815393","0.924490217170825","0.0536518062820106","Anhui"
"Anhui_Huaibei","0.322783516052545","-0.227026368823505","0.716567772261376","0.250252074411377","Anhui"
"Anhui_Suzhou","-0.547987305436874","-0.844111725807506","0.00430610040772831","0.274494214393801","Anhui"
"Anhui_Wuhu","0.593896835001655","0.117318952044557","0.848134453057614","0.238442031148173","Anhui"
"Anhui_Xuancheng","0.783571177326846","0.470684594652848","0.921391383822775","0.168367310010199","Anhui"
"Beijing_Beijing","-0.499500661543538","-0.6202232536509","-0.355664150494654","0.158054715486064","Beijing"
"Chongqing_Chongqing","-0.404630370880191","-0.550190076665911","-0.235205907372402","0.131434293318598","Chongqing"
"Fujian_Fuzhou","0.712825804906365","0.539832493675653","0.828047158558168","0.155253979277087","Fujian"
"Fujian_Quanzhou","0.573059439999615","0.0322488372724334","0.854304444376687","0.12490708059208","Fujian"
"Fujian_Xiamen","0.561685557434941","-0.16339653596364","0.892779859408038","0.214036655626943","Fujian"
"Gansu_Baiyin","-0.806952612960141","-0.911463383660203","-0.604594511245441","0.120098458043861","Gansu"
"Gansu_Gannan","0.91777326872514","0.774354582920062","0.971500171582352","0.21763396363502","Gansu"
"Gansu_Lanzhou","-0.17248101637533","-0.358631381566445","0.0268626620504454","0.25650729996848","Gansu"
"Gansu_Linxia","0.52100638273612","-0.161659497594043","0.866418013369885","0.253308911690951","Gansu"
"Gansu_Longnan","-0.494321356209928","-0.821550697400041","0.0778853262350217","0.356476804297208","Gansu"
"Gansu_Qingyang","0.446251312531718","0.030345459432849","0.730437416139507","0.390885715942814","Gansu"
"Gansu_Tianshui","-0.800946582970842","-0.92535761811192","-0.520784206132258","0.190015554981436","Gansu"
"Guangdong_Dongguan","0.877513936613564","0.733908331233067","0.946030122820052","0.178920335861674","Guangdong"
"Guangdong_Foshan","0.283871043877439","0.00290115231151256","0.523300111183485","0.324494722781359","Guangdong"
"Guangdong_Guangzhou","0.575527963890465","0.387464348601282","0.717603496874923","0.149356420564648","Guangdong"
"Guangdong_Huizhou","0.510364252340941","-0.129019332265947","0.85000944194769","0.36447316625203","Guangdong"
"Guangdong_Maoming","0.712876283435777","0.442338656108951","0.864498273364352","0.210974551232093","Guangdong"
"Guangdong_Meizhou","0.719832384991465","0.479942378151604","0.859567114632018","0.1582636889254","Guangdong"
"Guangdong_Qingyuan","0.515862373639124","0.274476856607051","0.6960883900457","0.233242203434086","Guangdong"
"Guangdong_Shantou","0.0415154933269777","-0.368051738261947","0.437590246574036","0.271426876306821","Guangdong"
"Guangdong_Shenzhen","0.367549597186867","0.186394801842846","0.524534047080647","0.206261189980556","Guangdong"
"Guangdong_Zhanjiang","0.563025442304213","0.112935927185488","0.821392787391399","0.332447687883012","Guangdong"
"Guangdong_Zhaoqing","0.948136705914366","0.831569375505395","0.98470394684131","0.0297642257171788","Guangdong"
"Guangdong_Zhongshan","0.904744955609898","0.666716169666782","0.975295178974595","0.0951881727627113","Guangdong"
"Guangdong_Zhuhai","0.479107834596435","0.093841668952005","0.739571434299882","0.303418111153536","Guangdong"
"Guangxi_Beihai","0.996766252431048","0.985849074803109","0.999264149894404","0.0149975093149148","Guangxi"
"Guangxi_Chongzuo","-0.200104391936987","-0.41264725459165","0.0331028746913525","0.306264928085086","Guangxi"
"Guangxi_Fangchenggang","0.359977988589985","0.169737908558771","0.524352828486874","0.271951125310353","Guangxi"
"Guangxi_Guilin","0.981382968948691","0.943382491522754","0.9939576280994","0.0156905066638516","Guangxi"
"Guangxi_Hechi","-0.178155570507229","-0.682303026229139","0.440826492331128","0.3220339384325","Guangxi"
"Guizhou_Bijie","0.447698201757658","-0.253353054959496","0.840427710309935","0.347687310972204","Guizhou"
"Guizhou_Guiyang","-0.855771350332614","-0.920955255844339","-0.743997476323869","0.0963645604831227","Guizhou"
"Guizhou_Zunyi","0.984002426015286","0.945803902443435","0.995342291352861","0.00819565165942182","Guizhou"
"Hainan_Danzhou","0.894475916403186","0.79755337773596","0.946380350211755","0.0382652855831676","Hainan"
"Hainan_Dongfang","0.279398967290681","-0.139756322512109","0.613638749929606","0.41968312238182","Hainan"
"Hainan_Ledong","0.573931255933485","0.248001489711602","0.783143586190225","0.436403235339924","Hainan"
"Hainan_Lingaoxian","0.958657447322883","0.89350856798831","0.984280695914162","0.0174899151004452","Hainan"
"Hainan_Lingshui","0.800722942525273","0.586895165648614","0.91013850749116","0.0669636633334099","Hainan"
"Hainan_Sanya","0.702313599822182","0.509421538370674","0.828004104352498","0.313893287417267","Hainan"
"Hainan_Wanning","0.457934490017389","0.186389394819174","0.664481058663785","0.23262310586729","Hainan"
"Hebei_Baoding","-0.18766458257312","-0.429384742282257","0.0791454299973405","0.226993424720776","Hebei"
"Hebei_Handan","-0.130955302546979","-0.480559627091236","0.254565171640513","0.353626823119525","Hebei"
"Hebei_Langfang","0.462529265451452","0.227259140105825","0.646784547573405","0.193736482189215","Hebei"
"Hebei_Qinhuangdao","-0.0378261133231198","-0.315669884791239","0.245991919335971","0.378929115551255","Hebei"
"Hebei_Shijiazhuang","0.570077330029728","0.234502929479732","0.784253501479554","0.172024166729079","Hebei"
"Heilongjiang_Daqing","-0.460201810357806","-0.786950467748028","0.068130262789536","0.376276217177771","Heilongjiang"
