"city","mean_corr","lb_corr","ub_corr","se","province"
"Anhui_Bangbu","0.730223269669389","0.299890338023424","0.913622317429002","0.183280667047052","Anhui"
"Anhui_Fuyang","-0.00734817676810763","-0.260790728256661","0.247041948035708","0.298505109315992","Anhui"
"Anhui_Hefei","0.722462250075761","0.561889837735872","0.830567213722831","0.194711985391023","Anhui"
"Anhui_Huaibei","0.623743875107769","0.163817127874019","0.860926375540112","0.209996151055146","Anhui"
"Anhui_Suzhou","-0.341930014362451","-0.751365199565194","0.257594269053749","0.377921685188324","Anhui"
"Anhui_Wuhu","0.758013501349263","0.401742992843349","0.914987197374373","0.0805820530996218","Anhui"
"Anhui_Xuancheng","0.468534580542597","-0.0354003109580643","0.782504118807446","0.414715867632631","Anhui"
"Beijing_Beijing","-0.520512146181845","-0.637392231230576","-0.380218214766363","0.134144456119797","Beijing"
"Chongqing_Chongqing","-0.0751979881974345","-0.258798814263251","0.113647037171088","0.21446066954361","Chongqing"
"Fujian_Fuzhou","0.806221877042344","0.678944421732117","0.886454549146336","0.0732463893183423","Fujian"
"Fujian_Quanzhou","0.697303741320209","0.237597919769737","0.901812078102844","0.127087645495836","Fujian"
"Fujian_Xiamen","0.697092074567209","0.0613774216593346","0.930457614970242","0.151894575134023","Fujian"
"Gansu_Baiyin","0.231616317433047","-0.179994175549788","0.574202528588628","0.347436192181759","Gansu"
"Gansu_Gannan","0.980947380692478","0.944528935577398","0.993535493398844","0.0579794288779835","Gansu"
"Gansu_Lanzhou","-0.375160870330371","-0.533845197646751","-0.190951153676109","0.317540855621341","Gansu"
"Gansu_Linxia","0.96996651633394","0.874270050722615","0.993094184386447","0.0249048736088974","Gansu"
"Gansu_Longnan","-0.543202179517004","-0.842141770333833","0.0111189697067238","0.197022883540875","Gansu"
"Gansu_Qingyang","0.514626240772152","0.118784091132859","0.769319045868122","0.404013232227226","Gansu"
"Gansu_Tianshui","-0.419931307927605","-0.749336688978803","0.0760761350560715","0.226319880845003","Gansu"
"Guangdong_Dongguan","0.206239806668625","-0.215055643328189","0.562817878130726","0.246008926924598","Guangdong"
"Guangdong_Foshan","0.503641899799529","0.259141265594651","0.687479235210018","0.254623809887611","Guangdong"
"Guangdong_Guangzhou","0.790552165848691","0.678303730209651","0.866743909153229","0.101843193753617","Guangdong"
"Guangdong_Huizhou","0.752679702655429","0.278581725874458","0.931825243407449","0.199596596450544","Guangdong"
"Guangdong_Maoming","0.257911477700769","-0.152797572413112","0.592651469223571","0.235699674032916","Guangdong"
"Guangdong_Meizhou","0.0357479318544444","-0.335155075129815","0.397057461934003","0.28632801745407","Guangdong"
"Guangdong_Qingyuan","0.480560776841669","0.230508995679537","0.671076705061126","0.222895794993019","Guangdong"
"Guangdong_Shantou","-0.406601894030985","-0.69586607067874","-0.0038261936563482","0.218219161297663","Guangdong"
"Guangdong_Shenzhen","0.355542482584542","0.173028193756835","0.514449110825667","0.116875791200053","Guangdong"
"Guangdong_Zhanjiang","0.885794368574814","0.705526406298826","0.958399387430389","0.127476247434736","Guangdong"
"Guangdong_Zhaoqing","0.914631638270378","0.733076683275881","0.974513233073919","0.0372267026760875","Guangdong"
"Guangdong_Zhongshan","0.755805324512513","0.285255583722245","0.932773672595038","0.275067736610283","Guangdong"
"Guangdong_Zhuhai","-0.072315156046875","-0.462234074225864","0.341036921681934","0.336266786214759","Guangdong"
"Guangxi_Beihai","0.921816987149919","0.696348658989789","0.9816779634425","0.250201754120894","Guangxi"
"Guangxi_Chongzuo","0.530605040716505","0.340829408943559","0.678831230373278","0.137494494613207","Guangxi"
"Guangxi_Fangchenggang","0.340616363423879","0.148225707083277","0.508165458616193","0.275379644678843","Guangxi"
"Guangxi_Guilin","0.962617141688697","0.888468599516341","0.987788846353778","0.0315550783424833","Guangxi"
"Guangxi_Hechi","0.274394292034873","-0.355498386326989","0.732890214220581","0.309723715018765","Guangxi"
"Guizhou_Bijie","-0.350340380541656","-0.802872209731446","0.35833880050845","0.305765349736983","Guizhou"
"Guizhou_Guiyang","-0.820319056560411","-0.900667942635441","-0.68572334165537","0.127197833170756","Guizhou"
"Guizhou_Zunyi","0.983968056800361","0.945689713932932","0.99533222740577","0.0134052166905928","Guizhou"
"Hainan_Danzhou","0.913673121234428","0.832827049834828","0.956352521740694","0.081551205541873","Hainan"
"Hainan_Dongfang","0.857689182060447","0.694621051035365","0.936922359579898","0.111224454002184","Hainan"
"Hainan_Ledong","0.958034328916579","0.908930700971659","0.980926331288996","0.154384105436171","Hainan"
"Hainan_Lingaoxian","0.948331114996921","0.868006286017728","0.980290004436662","0.053453274675967","Hainan"
"Hainan_Lingshui","0.955495626962624","0.89836857599129","0.980835713299689","0.0271162292723891","Hainan"
"Hainan_Sanya","0.82467792077715","0.696959673006859","0.901687005205366","0.103616784545041","Hainan"
"Hainan_Wanning","0.666673627356654","0.461039760339064","0.804356313916882","0.208035274477257","Hainan"
"Hebei_Baoding","-0.435527419630843","-0.626676585868827","-0.194943817013729","0.184871845235465","Hebei"
"Hebei_Handan","0.627622180803532","0.332363773122277","0.810842324945137","0.109003815858385","Hebei"
"Hebei_Langfang","0.440715591168356","0.201112651977226","0.630560013683821","0.251589863578769","Hebei"
"Hebei_Qinhuangdao","-0.31326031465387","-0.546335499195562","-0.0351556763442614","0.204821035001115","Hebei"
"Hebei_Shijiazhuang","0.699755513546578","0.428561376092901","0.855283899009196","0.177681794206499","Hebei"
"Heilongjiang_Daqing","-0.147694983729067","-0.613544826481765","0.394417036889628","0.318883230301598","Heilongjiang"
